Subject;Chocolate;Gender;Distance
"45";"yes";"male";7.460467751
"46";"no";"male";7.73938947
"46";"yes";"male";7.743530973
"47";"no";"male";7.689079537
"47";"yes";"male";7.709798158
"48";"no";"male";7.980639052
"48";"yes";"male";8.012014087
"49";"no";"male";8.133549283
"49";"yes";"male";8.164559119
"50";"no";"male";8.168980681
"50";"yes";"male";8.169752123
"51";"no";"male";7.454285585
"51";"yes";"male";7.451743293
"52";"no";"male";7.787648994
"52";"yes";"male";7.797541136
"53";"no";"male";7.322570153
"53";"yes";"male";7.335241334
"54";"no";"male";7.351158097
"54";"yes";"male";7.373403609
"55";"no";"male";7.767721095
"55";"yes";"male";7.763806154
"56";"no";"male";8.310414736
"56";"yes";"male";8.319382365
"57";"no";"male";7.475774969
"57";"yes";"male";7.51315718
"58";"no";"male";7.90721023
"58";"yes";"male";7.881112833
"59";"no";"male";7.676541905
"59";"yes";"male";7.711084072
"60";"no";"male";8.15635792
"60";"yes";"male";8.175623847
"61";"no";"male";7.364999318
"61";"yes";"male";7.387937462
"62";"no";"male";7.763241425
"62";"yes";"male";7.765079042
"63";"no";"male";7.947708445
"63";"yes";"male";7.963009382
"64";"no";"male";8.181479675
"64";"yes";"male";8.163439037
"65";"no";"male";8.332471258
"65";"yes";"male";8.330143439
"66";"no";"male";7.79401056
"66";"yes";"male";7.784233201
"67";"no";"male";7.210456305
"67";"yes";"male";7.237743831
"68";"no";"male";7.484116658
"68";"yes";"male";7.490642867
"69";"no";"male";7.376065235
"69";"yes";"male";7.388492476
"70";"no";"male";8.614078761
"70";"yes";"male";8.62268816
"71";"no";"male";7.525063278
"71";"yes";"male";7.551653922
"72";"no";"male";8.006008971
"72";"yes";"male";8.050133977
"73";"no";"male";7.676238363
"73";"yes";"male";7.710790107
"74";"no";"male";8.083234861
"74";"yes";"male";8.083390676
"75";"no";"male";7.488567811
"75";"yes";"male";7.497224836
"76";"no";"male";7.259699965
"76";"yes";"male";7.255739393
"77";"no";"male";7.24664182
"77";"yes";"male";7.244726782
"78";"no";"male";7.937586699
"78";"yes";"male";7.954998067
"79";"no";"male";7.691383413
"79";"yes";"male";7.706145442
"80";"no";"male";7.698040961
"80";"yes";"male";7.698871555
"81";"no";"male";8.25733471
"81";"yes";"male";8.290062927
"82";"no";"male";7.86952067
"82";"yes";"male";7.880916212
"83";"no";"male";7.822724885
"83";"yes";"male";7.844713991
"84";"no";"male";8.328222803
"84";"yes";"male";8.354074185
"85";"no";"male";7.475920089
"85";"yes";"male";7.48969015
"86";"no";"male";8.021175696
"86";"yes";"male";8.023182422
"87";"no";"male";8.049455353
"87";"yes";"male";8.063728128
"88";"no";"male";7.684869137
"88";"yes";"male";7.675747013
"89";"no";"male";7.844242663
"89";"yes";"male";7.85956225
"90";"no";"male";7.339617529
"90";"yes";"male";7.334177881
"91";"no";"male";7.344784788
"91";"yes";"male";7.35649238
"92";"no";"male";7.795578834
"92";"yes";"male";7.788266426
"93";"no";"male";8.016980375
"93";"yes";"male";8.040216432
"94";"no";"male";8.691007307
"94";"yes";"male";8.709394014
"95";"no";"male";7.520432262
"95";"yes";"male";7.529930979
"96";"no";"male";7.835699797
"96";"yes";"male";7.836730797
"97";"no";"male";7.745571774
"97";"yes";"male";7.715439168
"98";"no";"male";7.068780894
"98";"yes";"male";7.079923473
"99";"no";"male";7.599875051
"99";"yes";"male";7.590047835
"100";"no";"male";7.120167521
"100";"yes";"male";7.100722814
"101";"no";"female";6.446549549
"101";"yes";"female";6.441936067
"102";"no";"female";6.077296876
"102";"yes";"female";6.101638792
"103";"no";"female";6.550085496
"103";"yes";"female";6.550132896
"104";"no";"female";6.656297567
"104";"yes";"female";6.63969376
"105";"no";"female";6.711080204
"105";"yes";"female";6.718642412
"106";"no";"female";6.173818577
"106";"yes";"female";6.16990878
"107";"no";"female";6.566524606
"107";"yes";"female";6.562759842
"108";"no";"female";6.456710517
"108";"yes";"female";6.45341401
"109";"no";"female";6.690933609
"109";"yes";"female";6.692361887
"110";"no";"female";6.612042909
"110";"yes";"female";6.606342742
"111";"no";"female";6.71887497
"111";"yes";"female";6.72562328
"112";"no";"female";6.393229751
"112";"yes";"female";6.368056828
"113";"no";"female";6.359152842
"113";"yes";"female";6.35217452
"114";"no";"female";6.764634852
"114";"yes";"female";6.758309919
"115";"no";"female";5.682746877
"115";"yes";"female";5.674130931
"116";"no";"female";6.241204311
"116";"yes";"female";6.240885369
"117";"no";"female";5.982065384
"117";"yes";"female";5.986082275
"118";"no";"female";6.29393453
"118";"yes";"female";6.282051584
"119";"no";"female";6.649972282
"119";"yes";"female";6.639347721
"120";"no";"female";6.70375209
"120";"yes";"female";6.711135993
"121";"no";"female";6.071188455
"121";"yes";"female";6.074158486
"122";"no";"female";6.267991115
"122";"yes";"female";6.252505404
"123";"no";"female";6.474577327
"123";"yes";"female";6.463005072
"124";"no";"female";6.321968505
"124";"yes";"female";6.315021306
"125";"no";"female";6.528330785
"125";"yes";"female";6.499471074
"126";"no";"female";6.560104481
"126";"yes";"female";6.541812408
"127";"no";"female";6.093943451
"127";"yes";"female";6.106059948
"128";"no";"female";6.367473393
"128";"yes";"female";6.349441868
"129";"no";"female";5.688515823
"129";"yes";"female";5.690912069
"130";"no";"female";6.803383797
"130";"yes";"female";6.789357981
"131";"no";"female";6.207878609
"131";"yes";"female";6.196754309
"132";"no";"female";6.007615974
"132";"yes";"female";6.006693928
"133";"no";"female";6.332340604
"133";"yes";"female";6.310043658
"134";"no";"female";5.940213643
"134";"yes";"female";5.927735992
"135";"no";"female";6.423376738
"135";"yes";"female";6.401089978
"136";"no";"female";6.227394315
"136";"yes";"female";6.209978554
"137";"no";"female";7.163721543
"137";"yes";"female";7.150069429
"138";"no";"female";6.804695217
"138";"yes";"female";6.778115187
"140";"no";"female";6.574451136
"140";"yes";"female";6.548281923
"141";"no";"female";5.938464463
"141";"yes";"female";5.9247278
"142";"no";"female";6.336029607
"142";"yes";"female";6.311550916
"143";"no";"female";6.481908405
"143";"yes";"female";6.448643107
"144";"no";"female";6.675152649
"144";"yes";"female";6.667111851
"145";"no";"female";6.344462451
"145";"yes";"female";6.3012222
"146";"no";"female";6.949856475
"146";"yes";"female";6.947044238
"147";"no";"female";6.249110771
"147";"yes";"female";6.254352035
"148";"no";"female";6.513855328
"148";"yes";"female";6.521331853
"149";"no";"female";6.655114427
"149";"yes";"female";6.636940689
"150";"no";"female";6.457634947
"150";"yes";"female";6.435182551
"151";"no";"female";6.718725019
"151";"yes";"female";6.694697186
"152";"no";"female";6.538877227
"152";"yes";"female";6.519454281
"153";"no";"female";6.155227332
"153";"yes";"female";6.15299855
"154";"no";"female";5.809080962
"154";"yes";"female";5.81355551
"155";"no";"female";7.05305105
"155";"yes";"female";7.03761954
"156";"no";"female";6.218859292
"156";"yes";"female";6.188186542
"157";"no";"female";6.45615893
"157";"yes";"female";6.446805781
"158";"no";"female";6.639350117
"158";"yes";"female";6.605239424
"159";"no";"female";6.446956329
"159";"yes";"female";6.446353474
"160";"no";"female";6.093850097
"160";"yes";"female";6.090903965
"161";"no";"female";6.249570231
"161";"yes";"female";6.271220368
"162";"no";"female";6.366603983
"162";"yes";"female";6.343942183
"163";"no";"female";6.918509794
"163";"yes";"female";6.907746167
"164";"no";"female";6.125637967
"164";"yes";"female";6.104106409
"165";"no";"female";6.684601943
"165";"yes";"female";6.670425996
"166";"no";"female";6.530345212
"166";"yes";"female";6.518110382
"167";"no";"female";6.344380248
"167";"yes";"female";6.331868065
"168";"no";"female";6.068141556
"168";"yes";"female";6.043521916
"169";"no";"female";6.341174634
"169";"yes";"female";6.321162111
"170";"no";"female";6.402755929
"170";"yes";"female";6.386749243
"171";"no";"female";5.907573114
"171";"yes";"female";5.916879484
"172";"no";"female";6.462052418
"172";"yes";"female";6.471085646
"173";"no";"female";6.149439601
"173";"yes";"female";6.140906094
"174";"no";"female";6.369601813
"174";"yes";"female";6.384565271
"175";"no";"female";6.534980105
"175";"yes";"female";6.549400261
"176";"no";"female";6.112772415
"176";"yes";"female";6.113052216
"177";"no";"female";6.344264518
"177";"yes";"female";6.323562054
"178";"no";"female";6.538329195
"178";"yes";"female";6.529551126
"179";"no";"female";5.790734661
"179";"yes";"female";5.772924032
"180";"no";"female";6.774589906
"180";"yes";"female";6.758519596
"182";"no";"female";6.746896625
"182";"yes";"female";6.730556484
"183";"no";"female";6.306551717
"183";"yes";"female";6.308188907
"184";"no";"female";6.553505777
"184";"yes";"female";6.550163931
"185";"no";"female";6.070930179
"185";"yes";"female";6.048814044
"186";"no";"female";7.045045564
"186";"yes";"female";7.044380979
"187";"no";"female";6.729517654
"187";"yes";"female";6.728230629
"188";"no";"female";6.701009724
"188";"yes";"female";6.681790909
"189";"no";"female";6.118013719
"189";"yes";"female";6.102676391
"190";"no";"female";6.527379488
"190";"yes";"female";6.52195588
"191";"no";"female";6.239178166
"191";"yes";"female";6.220960144
"192";"no";"female";6.311112888
"192";"yes";"female";6.317357852
"193";"no";"female";6.236490285
"193";"yes";"female";6.214064923
"194";"no";"female";6.067799911
"194";"yes";"female";6.059905784
"195";"no";"female";6.121154519
"195";"yes";"female";6.089312942
"196";"no";"female";6.354928252
"196";"yes";"female";6.32478228
"197";"no";"female";5.840256061
"197";"yes";"female";5.835491295
"198";"no";"female";6.617927223
"198";"yes";"female";6.614089305
"199";"no";"female";6.369517499
"199";"yes";"female";6.374986022
"200";"no";"female";6.655013825
"200";"yes";"female";6.638787899
"201";"no";"female";6.507299125
"201";"yes";"female";6.520765661
"202";"no";"female";6.583970856
"202";"yes";"female";6.579279906
"203";"no";"female";5.925574305
"203";"yes";"female";5.916209185
"204";"no";"female";6.070133137
"204";"yes";"female";6.060840907
"205";"no";"female";6.279458485
"205";"yes";"female";6.256396677
"206";"no";"female";6.45196772
"206";"yes";"female";6.45418444
"207";"no";"female";6.813496051
"207";"yes";"female";6.799327961
"208";"no";"female";6.316190061
"208";"yes";"female";6.300210016
"209";"no";"female";6.850693022
"209";"yes";"female";6.823600314
"210";"no";"female";6.591351814
"210";"yes";"female";6.560665758
"211";"no";"female";6.815059973
"211";"yes";"female";6.795041962
"212";"no";"female";6.458779298
"212";"yes";"female";6.453757709
"213";"no";"female";6.21671649
"213";"yes";"female";6.182570075
"214";"no";"female";5.925834251
"214";"yes";"female";5.902644208
"215";"no";"female";6.46854622
"215";"yes";"female";6.449256627
"216";"no";"female";6.704796873
"216";"yes";"female";6.69610314
"217";"no";"female";6.316919273
"217";"yes";"female";6.314914147
"218";"no";"female";6.243191469
"218";"yes";"female";6.225236394
"219";"no";"female";6.329220273
"219";"yes";"female";6.315273584
"220";"no";"female";6.031113121
"220";"yes";"female";6.028418483
"221";"no";"female";6.262665193
"221";"yes";"female";6.246523666
"222";"no";"female";6.373128297
"222";"yes";"female";6.352033031
"223";"no";"female";6.436060689
"223";"yes";"female";6.42907852
"224";"no";"female";6.415776306
"224";"yes";"female";6.381021267
"225";"no";"female";6.629407841
"225";"yes";"female";6.621122368
"226";"no";"female";6.444796819
"226";"yes";"female";6.4420192
"227";"no";"female";7.01483031
"227";"yes";"female";7.017800792
"228";"no";"female";6.522754031
"228";"yes";"female";6.50405542
"229";"no";"female";7.040663315
"229";"yes";"female";7.033906039
"230";"no";"female";6.177312774
"230";"yes";"female";6.155679255
"231";"no";"female";6.603162097
"231";"yes";"female";6.587296854
"232";"no";"female";6.325743851
"232";"yes";"female";6.309428186
"233";"no";"female";6.625488471
"233";"yes";"female";6.611077185
"234";"no";"female";6.605549813
"234";"yes";"female";6.579616093
"235";"no";"female";5.669151752
"235";"yes";"female";5.655883059
"236";"no";"female";5.960617398
"236";"yes";"female";5.944540968
"237";"no";"female";5.935252666
"237";"yes";"female";5.909910869
"238";"no";"female";6.556485528
"238";"yes";"female";6.544494457
"239";"no";"female";6.908313142
"239";"yes";"female";6.906614958
"240";"no";"female";6.308787913
"240";"yes";"female";6.31832714
"241";"no";"female";6.689291716
"241";"yes";"female";6.680472089
"242";"no";"female";6.598816644
"242";"yes";"female";6.592983312
"243";"no";"female";6.071086509
"243";"yes";"female";6.03675186
"244";"no";"female";6.556272973
"244";"yes";"female";6.540364952
"245";"no";"female";6.168339417
"245";"yes";"female";6.140976022
"246";"no";"female";6.944370444
"246";"yes";"female";6.925833735
"247";"no";"female";6.410729964
"247";"yes";"female";6.407458255
"248";"no";"female";6.981748429
"248";"yes";"female";6.970282418
"249";"no";"female";6.282309756
"249";"yes";"female";6.258473911
"250";"no";"female";6.632113431
"250";"yes";"female";6.594101916
