Subject;Gender;Chocolate;Distance
60;male;without;8.15635792
60;male;with;8.175623847
61;male;without;7.364999318
61;male;with;7.387937462
62;male;without;7.763241425
62;male;with;7.765079042
63;male;without;7.947708445
63;male;with;7.963009382
64;male;without;8.181479675
64;male;with;8.163439037
65;male;without;8.332471258
65;male;with;8.330143439
66;male;without;7.79401056
66;male;with;7.784233201
67;male;without;7.210456305
67;male;with;7.237743831
68;male;without;7.484116658
68;male;with;7.490642867
69;male;without;7.376065235
69;male;with;7.388492476
70;male;without;8.614078761
70;male;with;8.62268816
71;male;without;7.525063278
71;male;with;7.551653922
72;male;without;8.006008971
72;male;with;8.050133977
73;male;without;7.676238363
73;male;with;7.710790107
74;male;without;8.083234861
74;male;with;8.083390676
75;male;without;7.488567811
75;male;with;7.497224836
76;male;without;7.259699965
76;male;with;7.255739393
77;male;without;7.24664182
77;male;with;7.244726782
78;male;without;7.937586699
78;male;with;7.954998067
79;male;without;7.691383413
79;male;with;7.706145442
80;male;without;7.698040961
80;male;with;7.698871555
81;male;without;8.25733471
81;male;with;8.290062927
82;male;without;7.86952067
82;male;with;7.880916212
83;male;without;7.822724885
83;male;with;7.844713991
84;male;without;8.328222803
84;male;with;8.354074185
85;male;without;7.475920089
85;male;with;7.48969015
86;male;without;8.021175696
86;male;with;8.023182422
87;male;without;8.049455353
87;male;with;8.063728128
88;male;without;7.684869137
88;male;with;7.675747013
89;male;without;7.844242663
89;male;with;7.85956225
90;male;without;7.339617529
90;male;with;7.334177881
91;male;without;7.344784788
91;male;with;7.35649238
92;male;without;7.795578834
92;male;with;7.788266426
93;male;without;8.016980375
93;male;with;8.040216432
94;male;without;8.691007307
94;male;with;8.709394014
95;male;without;7.520432262
95;male;with;7.529930979
96;male;without;7.835699797
96;male;with;7.836730797
97;male;without;7.745571774
97;male;with;7.715439168
98;male;without;7.068780894
98;male;with;7.079923473
99;male;without;7.599875051
99;male;with;7.590047835
100;male;without;7.120167521
100;male;with;7.100722814
101;female;without;6.446549549
101;female;with;6.441936067
102;female;without;6.077296876
102;female;with;6.101638792
103;female;without;6.550085496
103;female;with;6.550132896
104;female;without;6.656297567
104;female;with;6.63969376
105;female;without;6.711080204
105;female;with;6.718642412
106;female;without;6.173818577
106;female;with;6.16990878
107;female;without;6.566524606
107;female;with;6.562759842
108;female;without;6.456710517
108;female;with;6.45341401
109;female;without;6.690933609
109;female;with;6.692361887
110;female;without;6.612042909
110;female;with;6.606342742
111;female;without;6.71887497
111;female;with;6.72562328
112;female;without;6.393229751
112;female;with;6.368056828
113;female;without;6.359152842
113;female;with;6.35217452
114;female;without;6.764634852
114;female;with;6.758309919
115;female;without;5.682746877
115;female;with;5.674130931
116;female;without;6.241204311
116;female;with;6.240885369
117;female;without;5.982065384
117;female;with;5.986082275
118;female;without;6.29393453
118;female;with;6.282051584
119;female;without;6.649972282
119;female;with;6.639347721
120;female;without;6.70375209
120;female;with;6.711135993
121;female;without;6.071188455
121;female;with;6.074158486
122;female;without;6.267991115
122;female;with;6.252505404
123;female;without;6.474577327
123;female;with;6.463005072
124;female;without;6.321968505
124;female;with;6.315021306
125;female;without;6.528330785
125;female;with;6.499471074
126;female;without;6.560104481
126;female;with;6.541812408
127;female;without;6.093943451
127;female;with;6.106059948
128;female;without;6.367473393
128;female;with;6.349441868
129;female;without;5.688515823
129;female;with;5.690912069
130;female;without;6.803383797
130;female;with;6.789357981
131;female;without;6.207878609
131;female;with;6.196754309
132;female;without;6.007615974
132;female;with;6.006693928
133;female;without;6.332340604
133;female;with;6.310043658
134;female;without;5.940213643
134;female;with;5.927735992
135;female;without;6.423376738
135;female;with;6.401089978
136;female;without;6.227394315
136;female;with;6.209978554
137;female;without;7.163721543
137;female;with;7.150069429
138;female;without;6.804695217
138;female;with;6.778115187
139;female;without;5.573354558
139;female;with;5.539778821
140;female;without;6.574451136
140;female;with;6.548281923
141;female;without;5.938464463
141;female;with;5.9247278
142;female;without;6.336029607
142;female;with;6.311550916
143;female;without;6.481908405
143;female;with;6.448643107
144;female;without;6.675152649
144;female;with;6.667111851
145;female;without;6.344462451
145;female;with;6.3012222
146;female;without;6.949856475
146;female;with;6.947044238
147;female;without;6.249110771
147;female;with;6.254352035
148;female;without;6.513855328
148;female;with;6.521331853
149;female;without;6.655114427
149;female;with;6.636940689
150;female;without;6.457634947
150;female;with;6.435182551
151;female;without;6.718725019
151;female;with;6.694697186
152;female;without;6.538877227
152;female;with;6.519454281
153;female;without;6.155227332
153;female;with;6.15299855
154;female;without;5.809080962
154;female;with;5.81355551
155;female;without;7.05305105
155;female;with;7.03761954
156;female;without;6.218859292
156;female;with;6.188186542
157;female;without;6.45615893
157;female;with;6.446805781
158;female;without;6.639350117
158;female;with;6.605239424
159;female;without;6.446956329
159;female;with;6.446353474
160;female;without;6.093850097
160;female;with;6.090903965
161;female;without;6.249570231
161;female;with;6.271220368
162;female;without;6.366603983
162;female;with;6.343942183
163;female;without;6.918509794
163;female;with;6.907746167
164;female;without;6.125637967
164;female;with;6.104106409
165;female;without;6.684601943
165;female;with;6.670425996
166;female;without;6.530345212
166;female;with;6.518110382
167;female;without;6.344380248
167;female;with;6.331868065
168;female;without;6.068141556
168;female;with;6.043521916
169;female;without;6.341174634
169;female;with;6.321162111
170;female;without;6.402755929
170;female;with;6.386749243
171;female;without;5.907573114
171;female;with;5.916879484
172;female;without;6.462052418
172;female;with;6.471085646
173;female;without;6.149439601
173;female;with;6.140906094
174;female;without;6.369601813
174;female;with;6.384565271
175;female;without;6.534980105
175;female;with;6.549400261
176;female;without;6.112772415
176;female;with;6.113052216
177;female;without;6.344264518
177;female;with;6.323562054
178;female;without;6.538329195
178;female;with;6.529551126
179;female;without;5.790734661
179;female;with;5.772924032
180;female;without;6.774589906
180;female;with;6.758519596
181;female;without;7.246774838
181;female;with;7.22673887
182;female;without;6.746896625
182;female;with;6.730556484
183;female;without;6.306551717
183;female;with;6.308188907
184;female;without;6.553505777
184;female;with;6.550163931
185;female;without;6.070930179
185;female;with;6.048814044
186;female;without;7.045045564
186;female;with;7.044380979
187;female;without;6.729517654
187;female;with;6.728230629
188;female;without;6.701009724
188;female;with;6.681790909
189;female;without;6.118013719
189;female;with;6.102676391
190;female;without;6.527379488
190;female;with;6.52195588
191;female;without;6.239178166
191;female;with;6.220960144
192;female;without;6.311112888
192;female;with;6.317357852
193;female;without;6.236490285
193;female;with;6.214064923
194;female;without;6.067799911
194;female;with;6.059905784
195;female;without;6.121154519
195;female;with;6.089312942
196;female;without;6.354928252
196;female;with;6.32478228
197;female;without;5.840256061
197;female;with;5.835491295
198;female;without;6.617927223
198;female;with;6.614089305
199;female;without;6.369517499
199;female;with;6.374986022
200;female;without;6.655013825
200;female;with;6.638787899
201;female;without;6.507299125
201;female;with;6.520765661
202;female;without;6.583970856
202;female;with;6.579279906
203;female;without;5.925574305
203;female;with;5.916209185
204;female;without;6.070133137
204;female;with;6.060840907
205;female;without;6.279458485
205;female;with;6.256396677
206;female;without;6.45196772
206;female;with;6.45418444
207;female;without;6.813496051
207;female;with;6.799327961
208;female;without;6.316190061
208;female;with;6.300210016
209;female;without;6.850693022
209;female;with;6.823600314
210;female;without;6.591351814
210;female;with;6.560665758
211;female;without;6.815059973
211;female;with;6.795041962
212;female;without;6.458779298
212;female;with;6.453757709
213;female;without;6.21671649
213;female;with;6.182570075
214;female;without;5.925834251
214;female;with;5.902644208
215;female;without;6.46854622
215;female;with;6.449256627
216;female;without;6.704796873
216;female;with;6.69610314
217;female;without;6.316919273
217;female;with;6.314914147
218;female;without;6.243191469
218;female;with;6.225236394
219;female;without;6.329220273
219;female;with;6.315273584
220;female;without;6.031113121
220;female;with;6.028418483
221;female;without;6.262665193
221;female;with;6.246523666
222;female;without;6.373128297
222;female;with;6.352033031
223;female;without;6.436060689
223;female;with;6.42907852
224;female;without;6.415776306
224;female;with;6.381021267
225;female;without;6.629407841
225;female;with;6.621122368
226;female;without;6.444796819
226;female;with;6.4420192
227;female;without;7.01483031
227;female;with;7.017800792
228;female;without;6.522754031
228;female;with;6.50405542
229;female;without;7.040663315
229;female;with;7.033906039
230;female;without;6.177312774
230;female;with;6.155679255
231;female;without;6.603162097
231;female;with;6.587296854
232;female;without;6.325743851
232;female;with;6.309428186
233;female;without;6.625488471
233;female;with;6.611077185
234;female;without;6.605549813
234;female;with;6.579616093
235;female;without;5.669151752
235;female;with;5.655883059
236;female;without;5.960617398
236;female;with;5.944540968
237;female;without;5.935252666
237;female;with;5.909910869
238;female;without;6.556485528
238;female;with;6.544494457
239;female;without;6.908313142
239;female;with;6.906614958
240;female;without;6.308787913
240;female;with;6.31832714
241;female;without;6.689291716
241;female;with;6.680472089
242;female;without;6.598816644
242;female;with;6.592983312
243;female;without;6.071086509
243;female;with;6.03675186
244;female;without;6.556272973
244;female;with;6.540364952
245;female;without;6.168339417
245;female;with;6.140976022
246;female;without;6.944370444
246;female;with;6.925833735
247;female;without;6.410729964
247;female;with;6.407458255
248;female;without;6.981748429
248;female;with;6.970282418
249;female;without;6.282309756
249;female;with;6.258473911
250;female;without;6.632113431
250;female;with;6.594101916
